,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
179,180,OHI,0.85,1.88,-7.13%,-1.69%,-20.93%,-34.63%,121.76%,44.19,29.56,-8.48%,-9.13%,0.71%,"12,031,023"
180,181,CF,1.11,1.41,-0.98%,4.51%,-23.38%,-45.80%,51.50%,51.71,29.89,-0.33%,-2.73%,2.47%,"2,916,297"
181,182,IOVA,1.14,2.25,-8.44%,-11.66%,12.60%,-27.74%,69.67%,37.90,29.98,0.12%,2.53%,-2.35%,"3,735,153"
182,183,DEI,0.72,1.52,-2.78%,0.54%,-20.76%,-33.69%,30.53%,48.02,30.23,-1.91%,-4.00%,2.17%,"3,806,302"
183,184,OGE,0.72,1.31,-4.31%,-2.21%,-21.88%,-34.22%,32.75%,44.60,30.54,-1.42%,-2.08%,0.68%,"2,970,617"
184,185,CUZ,0.96,1.66,-4.91%,1.87%,-14.06%,-28.50%,45.34%,47.34,30.74,-2.13%,-1.09%,-1.05%,"3,292,089"
185,186,SKX,1.22,1.83,-5.24%,7.55%,-9.82%,-30.09%,82.36%,49.10,31.11,-4.37%,-5.81%,1.54%,"2,184,499"
186,187,AIG,1.45,2.08,-3.09%,12.67%,-26.37%,-45.77%,97.95%,51.90,31.81,-2.03%,-4.65%,2.74%,"7,702,647"
187,188,UGI,0.95,1.56,-2.12%,5.25%,-18.36%,-40.68%,47.95%,50.86,32.18,-0.98%,-1.71%,0.74%,"1,787,285"
188,189,ATH,1.35,2.35,5.82%,19.60%,-11.72%,-33.93%,149.21%,57.29,33.32,-3.34%,-6.22%,3.08%,"3,580,558"
189,190,JBL,1.22,1.56,5.23%,16.59%,-1.17%,-24.19%,90.07%,60.78,33.51,2.20%,-3.29%,5.67%,"4,009,910"
190,191,JCI,1.05,1.28,2.64%,11.88%,-8.54%,-23.43%,50.69%,58.20,34.32,-1.12%,-2.25%,1.15%,"11,215,444"
191,192,LUV,1.23,2.64,-1.25%,9.73%,-26.39%,-41.27%,53.79%,51.53,34.55,-3.63%,-5.52%,2.01%,"20,374,944"
192,193,PHM,1.35,1.94,-1.20%,14.30%,-3.33%,-26.81%,102.51%,54.90,34.67,-2.64%,-5.01%,2.50%,"4,741,982"
193,194,L,0.75,1.71,0.36%,3.22%,-22.53%,-38.94%,27.10%,51.92,34.73,2.51%,0.29%,2.21%,"4,982,840"
194,195,HDS,1.16,1.61,2.71%,12.66%,-4.46%,-19.49%,60.53%,58.42,34.82,-1.02%,-2.55%,1.56%,"3,001,918"
195,196,RHP,1.43,3.67,-6.71%,6.49%,-46.50%,-61.58%,165.51%,48.61,35.18,-3.62%,-4.82%,1.26%,"2,266,017"
196,197,TWOU,0.79,2.17,2.05%,19.41%,52.70%,-12.50%,212.05%,61.58,35.48,0.20%,-1.11%,1.33%,"4,133,139"
197,198,LSXMA,1.31,1.76,-2.56%,6.35%,-12.29%,-28.94%,61.13%,50.99,35.69,-3.57%,-4.83%,1.32%,"1,114,004"
198,199,SRC,1.06,2.44,6.12%,18.57%,-16.11%,-34.60%,94.50%,56.78,35.73,-3.95%,-4.67%,0.75%,"4,875,454"
199,200,VTR,1.07,2.66,-7.72%,7.01%,-30.31%,-52.52%,168.27%,47.34,35.80,-9.02%,-8.21%,-0.89%,"15,068,995"
200,201,NNN,0.58,2.14,1.27%,9.70%,-24.50%,-39.52%,49.08%,53.82,35.84,-3.45%,-5.06%,1.70%,"7,989,506"
201,202,ESNT,1.49,2.51,1.13%,18.55%,-16.73%,-35.42%,105.82%,55.32,36.06,-1.39%,-2.65%,1.29%,"1,791,160"
202,203,LPSN,1.28,1.85,1.03%,17.53%,6.07%,-20.15%,156.39%,57.89,36.10,-2.19%,-3.60%,1.46%,"879,995"
203,204,ALK,1.49,3.52,-4.71%,11.13%,-32.38%,-49.75%,81.27%,50.21,36.29,-3.10%,-5.32%,2.35%,"3,868,758"
204,205,AFL,0.89,1.67,-2.45%,0.42%,-20.48%,-35.99%,58.65%,48.51,36.60,-1.37%,-3.51%,2.21%,"7,617,140"
205,206,ACC,1.02,1.91,1.91%,9.66%,-12.34%,-28.09%,81.97%,54.96,36.63,-1.37%,-2.61%,1.27%,"4,818,194"
206,207,SCHW,1.25,1.73,-1.84%,1.33%,-10.57%,-29.00%,30.96%,48.77,36.67,-0.57%,-2.63%,2.11%,"14,817,169"
207,208,EPR,1.46,2.93,1.09%,22.74%,-35.31%,-54.04%,192.08%,55.86,36.68,-2.32%,-2.96%,0.67%,"3,927,964"
208,209,UAL,1.42,4.11,4.25%,23.74%,-43.89%,-61.64%,106.97%,53.65,36.84,-6.35%,-7.90%,1.68%,"100,445,970"
209,210,MET,1.34,1.95,-0.90%,6.21%,-13.59%,-29.95%,63.33%,51.96,37.32,-2.07%,-4.45%,2.49%,"16,562,642"
210,211,GLPI,1.01,2.03,2.60%,22.90%,1.40%,-24.53%,195.12%,61.82,38.00,0.90%,-1.99%,2.95%,"3,577,214"
211,212,AN,1.47,2.21,-6.59%,2.60%,-12.96%,-28.52%,84.65%,48.15,38.02,-3.33%,-4.40%,1.12%,"1,120,410"
212,213,TAP,0.87,1.73,-2.99%,-5.81%,-22.94%,-38.60%,11.82%,45.28,38.03,-2.69%,-3.94%,1.31%,"3,867,554"
